id,text,channel,date
73,Workspace SSO is broken. Email me with status updates at pm-ops@acmecorp.com,email,2026-05-26
74,"Nimbus plus Okta equals redirect hell. Try login, instant bounce back. Have a screenshot at https://i.imgur.com/4hjs9p2.png",twitter,2026-05-25
75,PM here. Just lost an entire PRD because Nimbus 'synced' over my version with an older one.,email,2026-05-19
76,Can you support Markdown in the activity feed?,support,2026-05-14
77,Voice notes in comments would be a killer feature for remote teams.,review,2026-05-12
78,Got billed double on plan change. Invoice URL: https://invoice.stripe.com/i/acct_xyz123. Please reverse the dupe.,email,2026-05-16
79,"Today is just one of those days. The app is fine, I'm just tired.",chat,2026-05-19
80,"Love the new dashboard layout, much cleaner than before!",twitter,2026-05-15
81,I wish I could draw on whiteboards inside Nimbus.,review,2026-05-14
82,asdf,chat,2026-05-26
83,Five stars. Use it every day. Don't change anything :),appstore,2026-05-20
84,What about a public API for time tracking?,support,2026-05-13
85,Modal dialogs always flash white in dark mode. Hurts my eyes at night.,chat,2026-05-03
86,Nimbus is the best productivity tool out there.,appstore,2026-05-19
87,Nonprofit pricing available? We're a 501c3.,email,2026-05-12
88,Two of us editing the same doc. My edits vanished when she hit save. No conflict prompt.,email,2026-05-19
89,Could you paginate large boards? 1000+ cards locks my Chrome tab.,support,2026-05-05
90,Calendar integration with Outlook would be amazing. Please consider.,support,2026-05-12
91,The print preview for documents shows blank pages on Firefox.,support,2026-05-13
92,Dark mode flicker between routes. Whole screen flashes light for half a second.,review,2026-05-04
93,"I edit a document, refresh, my changes are gone but the timestamp says it saved. Data loss.",support,2026-05-19
94,"Slack integration pings me 4x for one comment. Disabled, can't use it.",support,2026-05-07
95,"After upgrading, I see two transactions in Stripe customer portal. Both successful. Both for the same amount.",support,2026-05-15
96,Why does the app block the entire UI while loading a large board? Cannot do anything else.,chat,2026-05-05
97,Performance on large boards is unacceptable. We're a 50-person team with 2000+ items.,email,2026-05-07
98,Lost work three times this week. We're evaluating moving off Nimbus because of this.,email,2026-05-22
99,I can't see comments from deleted users in the activity log.,support,2026-05-18
100,Whole team locked out of Nimbus this morning. SSO login keeps looping back. Tickets piling up.,email,2026-05-26
101,Considering Notion. What would you say to convince me to stay?,email,2026-05-14
102,"Cannot get into Nimbus via Okta. Tried password reset, also stuck. Reach me at (415) 555-0199.",email,2026-05-25
103,Why am I getting three identical Slack pings every time someone updates a card?,email,2026-05-09
104,Files tab is unusable on iOS 18.2. Crashes the entire app every time.,review,2026-05-13
105,Dark mode is still broken on modals after the latest update. Reported this last month too.,twitter,2026-05-04
106,Cannot log in with Google Workspace SSO anymore. Worked fine last week.,support,2026-05-22
107,"Frustrated this morning. Not at you, just generally.",chat,2026-05-20
108,Document edits revert randomly. Saved version is always older than what's on screen.,support,2026-05-18
109,Our roadmap board has 800 items and it freezes the tab for ages when I open it.,support,2026-05-04
110,Why am I being charged for both my old plan AND the new plan after upgrade? Shouldn't it prorate?,support,2026-05-12
111,"Hello, please reach out to discuss potential partnership opportunities.",email,2026-05-21
112,"@nimbusapp upgraded plan, got billed twice within 2 minutes. Stripe confirmation emails came back to back.",twitter,2026-05-14
113,Customer support said clear cookies. Cleared cookies. Still redirect loop. Bumping to engineering.,support,2026-05-26
114,"Charged twice for the upgrade. First invoice paid in cents, second one in dollars. Bug in your pricing logic?",support,2026-05-11
115,Login then SSO provider then land on dashboard for 0.3 seconds then bounced to login. Repeat forever.,chat,2026-05-26
116,We're paying for ten seats and our team has been locked out for four hours. SSO is in a redirect loop.,email,2026-05-26
117,hi,chat,2026-05-26
118,Ugh.,chat,2026-05-21
119,I just lost an hour of work. Real-time collab claimed to save but actually didn't.,support,2026-05-23
120,Login then redirected to login then loop. Anyone else seeing this?,twitter,2026-05-25
121,"Sometimes my profile picture doesn't upload, but only on Safari.",chat,2026-05-15
122,Upgrade flow charged me twice. Card statement attached. Please refund.,email,2026-05-13
123,"iOS app crashes the moment I tap the Files tab. iPhone 15, iOS 18.2.1.",review,2026-05-10
124,Open settings in dark mode equals flash of white. Please fix.,twitter,2026-05-03
125,Just attempted SSO. Got redirected to /login?error=session_expired three times in a row.,support,2026-05-24
126,Just want to say thanks for the recent UX improvements.,twitter,2026-05-23
127,"Cannot live without this app, thank you for building it!",review,2026-05-22
128,"SSO is broken. Click login, get redirected to /auth, redirected back to login. Infinite loop.",support,2026-05-26
129,Each Nimbus event creates 2 to 4 Slack messages. Made our channel unusable.,email,2026-05-10
130,Is there a student discount? I'm an MSc student using Nimbus for thesis work.,email,2026-05-09
131,Latest iOS update broke the app. Files tab crashes within a second of opening.,review,2026-05-12
132,AI summary feature would be great for long docs.,chat,2026-05-16
133,"Just upgraded plan, immediately got two Stripe receipts in inbox for the same amount.",twitter,2026-05-15
134,Pagination on the API returns inconsistent counts between pages.,support,2026-05-19
135,How do I export my workspace as PDF?,support,2026-05-08
136,Tap Files then app vanishes then reopens then repeat. Have to force quit the app to escape.,support,2026-05-12
137,Files tab equals instant crash on iOS 18. Other tabs are fine.,appstore,2026-05-11
138,Document sync is unreliable. Yesterday lost a whole spec doc when teammate edited at same time.,chat,2026-05-20
139,"Logging in via Microsoft Entra used to work, now I just get stuck on the login page.",chat,2026-05-24
140,SSO redirect loop has been going on for six hours. Any ETA?,support,2026-05-26
141,Can you add a Pomodoro timer? Would help our team focus.,email,2026-05-13
142,"Just wrote a two-page brief, switched tabs, came back and 30 minutes of work was gone.",support,2026-05-21
143,Do you ship swag with paid plans? Asking for the office.,email,2026-05-20
144,"Conflict resolution on simultaneous edits is terrible. Whoever saves last wins, the rest just disappears.",chat,2026-05-18
145,"Switched tabs for 30 seconds, came back, doc reverted to 5 minutes ago. Where did my edits go?",chat,2026-05-22
146,"Updated to iOS 18, now Nimbus crashes opening Files. iPhone 14 Pro.",appstore,2026-05-09
147,Cannot use the iOS app at all because Files tab crashes and I need to see my docs.,review,2026-05-14
148,Disabled the Slack integration because it spammed our channel with duplicate pings constantly.,support,2026-05-06
149,alice.cohen@octane.io can't log in via SSO and we have an exec demo at 2pm. Please look.,email,2026-05-26
150,Why does Nimbus silently drop my edits when there's a network blip? At least warn me.,review,2026-05-17
