id,text,channel,date
66,The responsive layout falls apart below tablet width.,review,2026-05-16
67,"The mobile layout is unusable, buttons overlap on my phone.",review,2026-05-11
68,"Hello, testing whether support chat works. Hi!",review,2026-05-16
69,"Every search takes forever, sometimes it never returns at all.",twitter,2026-05-20
70,Search got much slower after we crossed a few thousand records.,support,2026-05-16
71,"The 'remember me' checkbox does nothing, I'm signed out within minutes anyway.",chat,2026-05-21
72,What's the difference between the Pro and Team tiers?,support,2026-05-04
73,"Double billing again this month, this is the second time it's happened.",email,2026-05-07
74,"Can't get a usable PDF, the export is blank no matter what I try.",email,2026-05-06
75,"Happy customer, just renewed for another year.",email,2026-05-21
76,Buttons are stacked on top of each other on a small screen.,chat,2026-05-03
77,"Menu items wrap into each other on my phone, totally unreadable.",email,2026-05-15
78,"Please refund the extra charge, I only have one subscription.",email,2026-05-03
79,Can't complete signup on mobile because the button is off the bottom of the screen.,review,2026-05-06
80,"Exported PDF opens to a single blank page, none of my data is there.",review,2026-05-01
81,"Signed up but no email, so I'm locked out of my own new account.",review,2026-05-19
82,Search performance is terrible once a project gets big.,email,2026-05-21
83,Dropdowns render off-screen on mobile so I can't pick an option.,review,2026-05-20
84,The exported PDF has the header but the body is totally blank.,twitter,2026-05-16
85,Searching returns results eventually but the wait kills my workflow.,chat,2026-05-05
86,Verification email finally arrived but the link says it already expired.,twitter,2026-05-18
87,The 'resend email' button says sent but I never receive anything.,review,2026-05-01
88,"Please fix the auto-logout, it's making the product unusable for long edits.",support,2026-05-21
89,"Honestly love this product, it's made my week so much easier!",support,2026-05-17
90,Can you ship me some stickers? Big fan here.,review,2026-05-14
91,"The mobile site doesn't scroll properly, content is stuck behind the header.",review,2026-05-07
92,"Loving the product so far, no complaints at all.",support,2026-05-09
93,"The search index seems to choke on large datasets, super slow.",review,2026-05-10
94,I need an urgent refund for a duplicate charge before my card maxes out.,twitter,2026-05-08
95,The email with the confirmation code just doesn't show up.,twitter,2026-05-11
96,I refreshed the page and suddenly I'm logged out and my form is gone.,chat,2026-05-18
97,"Tried exporting my report as PDF three times, all blank pages.",email,2026-05-05
98,Got double-charged after my payment failed and I retried.,support,2026-05-12
99,"Thanks for the quick reply yesterday, you all are awesome.",email,2026-05-19
100,The PDF generator times out and returns an empty file.,twitter,2026-05-14
101,I signed up two days ago and still haven't gotten the verification email.,twitter,2026-05-05
102,"Please manually verify me, the signup email system seems down.",twitter,2026-05-05
103,Typing in search freezes the whole page for several seconds.,twitter,2026-05-17
104,Random question: who designed your logo? It's lovely.,support,2026-05-15
105,The sidebar won't close on mobile and blocks the whole page.,review,2026-05-20
106,Export works as CSV but PDF is always empty. Something's wrong with PDF.,support,2026-05-05
107,Is there a student discount available for the annual plan?,review,2026-05-05
108,"Search is unusably slow in the afternoon, must be a load issue.",email,2026-05-20
109,Constant random logouts on the web app. Is this a known issue?,support,2026-05-18
110,Account creation fails silently because the verify email never sends.,support,2026-05-11
111,Every time I switch tabs and come back I have to sign in again.,twitter,2026-05-17
112,The bottom toolbar hides the submit button on mobile so I can't save.,twitter,2026-05-16
113,"Onboarding is dead in the water, no activation email at all.",support,2026-05-18
114,Search query spins forever and then shows a timeout error.,support,2026-05-08
115,"Can't onboard my team, none of them get the invite verification emails.",review,2026-05-09
116,Global search is so laggy I've started using ctrl+F on the page instead.,support,2026-05-04
117,"Tried three different email providers, none receive the verification mail.",twitter,2026-05-15
118,"Big projects make search crawl, small ones are fine.",twitter,2026-05-01
119,"My charts don't render in the PDF export, just white space where they should be.",support,2026-05-15
120,"The session expiry warning never shows, it just silently logs me out.",chat,2026-05-20
121,"Filtering a large list is painfully slow, the spinner just keeps going.",twitter,2026-05-20
122,I've requested the confirmation email five times and nothing comes through.,twitter,2026-05-07
123,My session drops the moment I stop typing for a bit. Lost a whole draft.,chat,2026-05-15
124,asdkfj test test please ignore this message,twitter,2026-05-18
125,"Results take 15+ seconds to load, by then I've forgotten what I searched.",email,2026-05-17
126,Session timeout is way too aggressive. I lose work constantly.,review,2026-05-17
127,Exporting to PDF strips out all the content and leaves an empty page.,chat,2026-05-18
128,Lost an hour of notes because it logged me out without saving anything.,review,2026-05-15
129,Sign-up is blocked because the activation email isn't being sent.,review,2026-05-14
130,"Resent the verification email repeatedly, still nothing after an hour.",support,2026-05-13
131,"Export to PDF is broken, the file downloads but it's completely empty.",email,2026-05-11
132,Logged out three times during a single support call with my own customer.,support,2026-05-08
133,On a small screen the modal is bigger than the viewport and I can't close it.,email,2026-05-03
134,When is the next webinar? I missed the last one.,review,2026-05-10
135,Had to re-authenticate four times just to finish one report. Painful.,support,2026-05-05
136,Two payments came out of my account for a single renewal.,chat,2026-05-05
137,PDF export just gives me a 0-byte file every single time.,chat,2026-05-05
138,"Auth token seems to expire instantly, I'm re-logging every few minutes.",email,2026-05-08
139,Keeps logging me out on mobile and desktop both. Auth feels broken.,support,2026-05-13
140,The renewal charged my card and my backup card both.,email,2026-05-06
141,Blank PDF again. This is the third report I couldn't deliver on time.,review,2026-05-06
142,I get frequent 504 timeouts when searching large workspaces.,email,2026-05-17
